key,name,path,path2,line,volume,track_no,title,author,comment,hidden
811,,data\bgm\bgst11_20.ogg,,-1,100,-1,不滅のレッドソウル,20秒版,,0
812,,data\bgm\bgst12_20.ogg,,-1,100,-1,落日に映える逆さ城,20秒版,,0
813,,data\bgm\bgst13_20.ogg,,-1,100,-1,千の試練を超えて,20秒版,,0
814,,data\bgm\bgst14_20.ogg,,-1,100,-1,夢世界フォークロア,20秒版,,0
815,,data\bgm\bgst15_20.ogg,,-1,100,-1,永遠に続く回廊,20秒版,,
816,,data\bgm\bgst16_20.ogg,,-1,100,-1,スリープシープ・パレード,20秒版,,
817,,data\bgm\bgst17_20.ogg,,-1,100,-1,至る有頂天,20秒版,,
818,,data\bgm\midboss_20.ogg,,-1,100,-1,憑坐は夢と現の間に　～ Necro-Fantasia,20秒版,,
819,,data\bgm\lastboss_20.ogg,,-1,100,-1,今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.,20秒版,,
851,,data\bgm\145st01_20.ogg,,-1,100,-1,オカルトアトラクト,20秒版,,
852,,data\bgm\145st02_20.ogg,,-1,100,-1,ネオ竹林インフレイム,20秒版,,
853,,data\bgm\145st03_20.ogg,,-1,100,-1,億万劫の鐘,20秒版,,
854,,data\bgm\145st04_20.ogg,,-1,100,-1,アンノウンX　～ Occultly Madness,20秒版,,
