key,name,path,path2,line,track_no,title,author,comment
110,,data\bgm\chuboss1.ogg,,0,10,幻想郷の二ッ岩,（ＺＵＮ）,何か判った風で偉そうにしているマミゾウ。\nでもその実体は面白そうな事につい顔を出してしまうだけの妖怪です。\n曲にはストーリーとほぼ無関係であるというイメージを持たせました。
111,,data\bgm\kokoro1.ogg,,0,11,亡失のエモーション,（ＺＵＮ）,感情が失われた丑三つ時。無表情の人間が里を徘徊する。\nラストはちょっぴりホラー展開ですが、曲はノリノリになりました。\n絶望って程じゃ無いよねぇ、色々と。
3,,data\bgm\op.ogg,,1,12,塵界不変のペシミズム,（あきやまうに）,おのけい先生の絵巻物スクロール演出とセットで作った曲。リアル巻物は例大祭\nで展示しているはずですがご覧頂けましたでしょうか？　自分はまだ巻物になっ\nた状態を見てないけど、きっと作ってくれているはず。　　　　　　Vn. ＪＵＮ
4,,data\bgm\title.ogg,,1,13,心綺楼囃子,（あきやまうに）,メインテーマと見せかけて、他に一曲しかこのフレーズを使ってない謎曲。\n曲的に囃子じゃないけどそう言い張る構え。和太鼓入ってるしね！　この曲はタ\nイトル以外で使ってる場所が、本来の用途かもしれない。　　　　　Vn. ＪＵＮ
5,,data\bgm\ed.ogg,,1,19,暁雲,（あきやまうに）,いつもの通りの系統の素直なエンディング曲。\nポジション的に、ゲーム全体の盛り上がり曲線の谷に当たる場所。\n遅いテンポの曲は演奏してもらうと効果が大きい。おいしい。　Vc. 荒井英理也
6,,data\bgm\staffroll.ogg,,1,20,官板黄昏新聞,（あきやまうに）,五拍子たのしい！　スタッフロール演出たのしい！　曲よりも画像作る方が大変\nだった気もするけど満足。こちらの新聞にランダム要素はありません。でも３秒\nくらいしか表示されないので、中身が気になる人はいい感じのタ　　Vn. ＪＵＮ
7,,data\bgm\win.ogg,,1,18,本日の一面記事,（あきやまうに）,ＶＳモード時に表示される新聞の見出しは、ランダムでそこそこ種類あるから、\n全部見るのは大変だぞ！　表示された後、キャラが出てきて見にくくなるので、\nいい感じのタイミングでがんばってスクリーンショットを撮って確認しよう！
8,,data\bgm\staffroll2.ogg,,1,-1,,（あきやまうに）,
301,,data\bgm\kaiwa1.ogg,,1,14,人気のある場所,（あきやまうに）,汎用的な曲として作ったら、なんか使い勝手がよすぎて他に曲がいらなくなって\nしまった。飽きるかもしれないけど勘弁な！　密かにちゃんとＡＢサビ的なとこ\nろまで作ってあるけど、そこまで聞かれることはあんまり無い会話曲の宿命。
303,,data\bgm\kaiwa3.ogg,,1,15,人気のない場所,（あきやまうに）,違った感じのところ用なので、三拍子にしてちょっと違った感じを演出。\n曲名の「人気」の読み方は「にんき」「ひとけ」どちらでも。
304,,data\bgm\kaiwa4.ogg,,1,-1,,（あきやまうに）,
305,,data\bgm\kaiwa5.ogg,,1,17,丑三つ時の里,（あきやまうに）,今回は気持ち悪い感じで、あんまり盛り上げないボス前曲。どこからボス曲に切\nり替わっても、そこそこ大丈夫なように作っておいたのに、結局無音が曲の間に\n挟まれたので、別にそういう配慮はいらなかったという悲しい思い出。
